"","ID","AGE","GEN","EXP","ANT","OCB","FRCC","RBSE"
"1",1,38,0,6,6,4,14,3.6
"2",2,29,1,8,8,3.5,16,4.2
"3",3,54,0,30,12,4.16666666666667,12,4
"4",4,39,1,14,6,2.16666666666667,8,2.8
"5",5,53,1,20,14,3,4,5
"6",6,34,1,8,6,4.33333333333333,12,1
"7",7,26,0,1,1,2.33333333333333,8,4
"8",8,40,1,10,3,3.33333333333333,12,4
"9",9,33,0,13,13,3.5,14,3.6
"10",10,44,0,20,3,4.66666666666667,13,5
"11",11,52,1,20,3,4.5,16,5
"12",12,38,0,8,2,4.5,13,5
"13",13,40,1,6,6,3,12,3
"14",14,34,0,10,3,4.83333333333333,17,5
"15",15,32,0,8,1,4,17,3.2
"16",16,36,0,6,5,1,4,1
"17",17,59,0,10,2,5,20,5
"18",18,59,0,10,2,5,20,5
"19",19,51,0,26,10,4.83333333333333,16,5
"20",20,27,1,5,1,4,15,5
"21",21,34,1,9,4,2.83333333333333,12,4
"22",22,42,1,15,4,4,15,4.2
"23",23,54,0,32,31,4.16666666666667,15,5
"24",24,38,1,12,12,1,4,5
"25",25,35,0,10,4,4,13,4
"26",26,46,0,20,18,4,20,4.4
"27",27,33,1,7,3,4.16666666666667,16,5
"28",28,45,1,23,23,2,8,3.6
"29",29,56,0,30,30,3.66666666666667,9,4.2
"30",30,39,1,11,8,5,16,5
"31",31,29,0,1,0,3,12,3
"32",32,36,1,8,6,4.5,18,4
"33",33,44,1,12,4,4,14,4
"34",34,44,1,12,4,4,14,4
"35",35,44,1,12,4,4,14,4
"36",36,27,1,6,0,3,9,4.8
"37",37,31,0,6,3,3,20,3
"38",38,26,0,2,2,2.66666666666667,11,3
"39",39,50,1,20,6,4.66666666666667,16,4.8
"40",40,50,1,20,6,4.66666666666667,16,4.8
"41",41,31,1,4,4,3.16666666666667,14,3
"42",42,47,0,21,13,4,13,5
"43",43,35,1,5,2,3.16666666666667,12,3.4
"44",44,26,1,4,1,3,12,3
