id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
18,39,1,15,12,1,1,0,1,7,7,7,7,7,5,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,5,7,7,7,4,6,7
17,54,0,39,38,3,1,0,0,6,5,6,6,6,5,4,6,5,6,4,4,7,4,4,4,4,4,6,6,6,6,6,5,5,3,2,3,5,2,7,6,6,6,6,6,7,7,6,4,5,4,3,2,2,5,5,4,6,7,6
16,30,1,8,3,4,0,1,1,5,5,5,5,5,4,4,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,6,2,3,3,3,4,3
19,46,0,20,15,10,1,0,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
20,53,0,31,31,2,0,0,0,7,4,7,6,6,5,6,5,6,6,7,4,1,6,6,6,4,7,7,7,7,7,7,7,7,7,4,4,7,7,4,7,4,4,7,7,1,1,4,1,1,7,4,7,7,1,1,1,1,7,7
21,41,1,20,15,3,1,0,1,7,7,7,7,7,7,4,7,7,7,7,1,1,3,4,4,4,4,5,7,7,7,7,7,7,7,1,6,7,4,7,5,5,5,5,5,5,6,6,6,6,6,4,6,1,1,3,1,5,6,6
22,43,1,12,5,3,1,0,0,7,5,6,7,7,5,4,5,5,6,5,4,3,4,4,4,4,4,5,6,6,6,6,6,5,5,4,4,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,2,3,3,4,3,4,4
23,33,1,15,10,4,1,0,0,7,5,6,6,6,6,4,5,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
24,34,1,6,6,1,1,0,1,6,4,4,7,7,5,2,4,3,3,3,1,1,5,3,3,5,6,6,6,6,6,6,4,3,5,3,4,3,2,7,4,3,4,6,5,5,4,5,5,3,1,1,3,1,5,3,3,3,4,4
25,28,0,3,3,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
